Sr#,Category,Sub-Category,File Name,Extension,Label,Full Path
222,Garbage,Has Garbage,IMG (27).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (27).jpg
223,Garbage,Has Garbage,IMG (28).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (28).jpg
224,Garbage,Has Garbage,IMG (29).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (29).jpg
225,Garbage,Has Garbage,IMG (3).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (3).jpg
226,Garbage,Has Garbage,IMG (30).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (30).jpg
227,Garbage,Has Garbage,IMG (31).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (31).jpg
228,Garbage,Has Garbage,IMG (32).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (32).jpg
229,Garbage,Has Garbage,IMG (33).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (33).jpg
230,Garbage,Has Garbage,IMG (34).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (34).jpg
231,Garbage,Has Garbage,IMG (35).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (35).jpg
232,Garbage,Has Garbage,IMG (36).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (36).jpg
233,Garbage,Has Garbage,IMG (37).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (37).jpg
234,Garbage,Has Garbage,IMG (38).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (38).jpg
235,Garbage,Has Garbage,IMG (39).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (39).jpg
236,Garbage,Has Garbage,IMG (40).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (40).jpg
237,Garbage,Has Garbage,IMG (41).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (41).jpg
238,Garbage,Has Garbage,IMG (42).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (42).jpg
239,Garbage,Has Garbage,IMG (43).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (43).jpg
240,Garbage,Has Garbage,IMG (44).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (44).jpg
241,Garbage,Has Garbage,IMG (45).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (45).jpg
242,Garbage,Has Garbage,IMG (46).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (46).jpg
243,Garbage,Has Garbage,IMG (47).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (47).jpg
244,Garbage,Has Garbage,IMG (48).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (48).jpg
245,Garbage,Has Garbage,IMG (49).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (49).jpg
246,Garbage,Has Garbage,IMG (5).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (5).jpg
247,Garbage,Has Garbage,IMG (50).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (50).jpg
248,Garbage,Has Garbage,IMG (51).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (51).jpg
249,Garbage,Has Garbage,IMG (52).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (52).jpg
250,Garbage,Has Garbage,IMG (53).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (53).jpg
251,Garbage,Has Garbage,IMG (54).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (54).jpg
252,Garbage,Has Garbage,IMG (55).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (55).jpg
253,Garbage,Has Garbage,IMG (56).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (56).jpg
254,Garbage,Has Garbage,IMG (57).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (57).jpg
255,Garbage,Has Garbage,IMG (58).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (58).jpg
256,Garbage,Has Garbage,IMG (59).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (59).jpg
257,Garbage,Has Garbage,IMG (6).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (6).jpg
258,Garbage,Has Garbage,IMG (60).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (60).jpg
259,Garbage,Has Garbage,IMG (61).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (61).jpg
260,Garbage,Has Garbage,IMG (62).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (62).jpg
261,Garbage,Has Garbage,IMG (63).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (63).jpg
262,Garbage,Has Garbage,IMG (64).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (64).jpg
263,Garbage,Has Garbage,IMG (65).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (65).jpg
264,Garbage,Has Garbage,IMG (66).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (66).jpg
265,Garbage,Has Garbage,IMG (67).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (67).jpg
266,Garbage,Has Garbage,IMG (68).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (68).jpg
267,Garbage,Has Garbage,IMG (69).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (69).jpg
268,Garbage,Has Garbage,IMG (7).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (7).jpg
269,Garbage,Has Garbage,IMG (70).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (70).jpg
270,Garbage,Has Garbage,IMG (71).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (71).jpg
271,Garbage,Has Garbage,IMG (72).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (72).jpg
272,Garbage,Has Garbage,IMG (73).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (73).jpg
273,Garbage,Has Garbage,IMG (74).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (74).jpg
274,Garbage,Has Garbage,IMG (75).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (75).jpg
275,Garbage,Has Garbage,IMG (76).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (76).jpg
276,Garbage,Has Garbage,IMG (77).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (77).jpg
277,Garbage,Has Garbage,IMG (78).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (78).jpg
278,Garbage,Has Garbage,IMG (79).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (79).jpg
279,Garbage,Has Garbage,IMG (8).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (8).jpg
280,Garbage,Has Garbage,IMG (80).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (80).jpg
281,Garbage,Has Garbage,IMG (81).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (81).jpg
282,Garbage,Has Garbage,IMG (82).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (82).jpg
283,Garbage,Has Garbage,IMG (83).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (83).jpg
284,Garbage,Has Garbage,IMG (84).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (84).jpg
285,Garbage,Has Garbage,IMG (85).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (85).jpg
286,Garbage,Has Garbage,IMG (86).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (86).jpg
287,Garbage,Has Garbage,IMG (87).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (87).jpg
288,Garbage,Has Garbage,IMG (88).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (88).jpg
289,Garbage,Has Garbage,IMG (89).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (89).jpg
290,Garbage,Has Garbage,IMG (9).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (9).jpg
291,Garbage,Has Garbage,IMG (90).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (90).jpg
292,Garbage,Has Garbage,IMG (91).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (91).jpg
293,Garbage,Has Garbage,IMG (92).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (92).jpg
294,Garbage,Has Garbage,IMG (93).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (93).jpg
295,Garbage,Has Garbage,IMG (94).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (94).jpg
296,Garbage,Has Garbage,IMG (95).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (95).jpg
297,Garbage,Has Garbage,IMG (96).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (96).jpg
298,Garbage,Has Garbage,IMG (97).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (97).jpg
299,Garbage,Has Garbage,IMG (98).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (98).jpg
300,Garbage,Has Garbage,IMG (99).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (99).jpg
301,Pothole,No Pothole,img (1).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (1).jpg
302,Pothole,No Pothole,img (10).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (10).jpg
303,Pothole,No Pothole,img (100).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (100).jpg
304,Pothole,No Pothole,img (11).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (11).jpg
305,Pothole,No Pothole,img (12).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (12).jpg
306,Pothole,No Pothole,img (13).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (13).jpg
307,Pothole,No Pothole,img (14).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (14).jpg
308,Pothole,No Pothole,img (15).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (15).jpg
309,Pothole,No Pothole,img (16).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (16).jpg
310,Pothole,No Pothole,img (17).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (17).jpg
311,Pothole,No Pothole,img (18).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (18).jpg
312,Pothole,No Pothole,img (19).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (19).jpg
313,Pothole,No Pothole,img (2).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (2).jpg
314,Pothole,No Pothole,img (20).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (20).jpg
315,Pothole,No Pothole,img (21).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (21).jpg
316,Pothole,No Pothole,img (22).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (22).jpg
317,Pothole,No Pothole,img (23).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (23).jpg
318,Pothole,No Pothole,img (24).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (24).jpg
319,Pothole,No Pothole,img (25).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (25).jpg
320,Pothole,No Pothole,img (26).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (26).jpg
321,Pothole,No Pothole,img (27).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (27).jpg
322,Pothole,No Pothole,img (28).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (28).jpg
323,Pothole,No Pothole,img (29).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (29).jpg
324,Pothole,No Pothole,img (3).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (3).jpg
325,Pothole,No Pothole,img (30).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (30).jpg
326,Pothole,No Pothole,img (31).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (31).jpg
327,Pothole,No Pothole,img (32).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (32).jpg
328,Pothole,No Pothole,img (33).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (33).jpg
329,Pothole,No Pothole,img (34).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (34).jpg
330,Pothole,No Pothole,img (35).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (35).jpg
331,Pothole,No Pothole,img (36).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (36).jpg
332,Pothole,No Pothole,img (37).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (37).jpg
333,Pothole,No Pothole,img (38).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (38).jpg
334,Pothole,No Pothole,img (39).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (39).jpg
335,Pothole,No Pothole,img (4).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (4).jpg
336,Pothole,No Pothole,img (40).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (40).jpg
337,Pothole,No Pothole,img (41).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (41).jpg
338,Pothole,No Pothole,img (42).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (42).jpg
339,Pothole,No Pothole,img (43).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (43).jpg
340,Pothole,No Pothole,img (44).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (44).jpg
341,Pothole,No Pothole,img (45).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (45).jpg
342,Pothole,No Pothole,img (46).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (46).jpg
343,Pothole,No Pothole,img (47).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (47).jpg
344,Pothole,No Pothole,img (48).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (48).jpg
345,Pothole,No Pothole,img (49).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (49).jpg
346,Pothole,No Pothole,img (5).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (5).jpg
347,Pothole,No Pothole,img (50).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (50).jpg
348,Pothole,No Pothole,img (51).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (51).jpg
349,Pothole,No Pothole,img (52).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (52).jpg
350,Pothole,No Pothole,img (53).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (53).jpg
351,Pothole,No Pothole,img (54).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (54).jpg
352,Pothole,No Pothole,img (55).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (55).jpg
353,Pothole,No Pothole,img (56).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (56).jpg
354,Pothole,No Pothole,img (57).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (57).jpg
355,Pothole,No Pothole,img (58).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (58).jpg
356,Pothole,No Pothole,img (59).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (59).jpg
357,Pothole,No Pothole,img (6).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (6).jpg
358,Pothole,No Pothole,img (60).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (60).jpg
359,Pothole,No Pothole,img (61).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (61).jpg
360,Pothole,No Pothole,img (62).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (62).jpg
361,Pothole,No Pothole,img (63).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (63).jpg
362,Pothole,No Pothole,img (64).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (64).jpg
363,Pothole,No Pothole,img (65).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (65).jpg
364,Pothole,No Pothole,img (66).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (66).jpg
365,Pothole,No Pothole,img (67).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (67).jpg
366,Pothole,No Pothole,img (68).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (68).jpg
367,Pothole,No Pothole,img (69).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (69).jpg
368,Pothole,No Pothole,img (7).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (7).jpg
369,Pothole,No Pothole,img (70).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (70).jpg
370,Pothole,No Pothole,img (71).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (71).jpg
371,Pothole,No Pothole,img (72).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (72).jpg
372,Pothole,No Pothole,img (73).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (73).jpg
373,Pothole,No Pothole,img (74).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (74).jpg
374,Pothole,No Pothole,img (75).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (75).jpg
375,Pothole,No Pothole,img (76).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (76).jpg
376,Pothole,No Pothole,img (77).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (77).jpg
377,Pothole,No Pothole,img (78).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (78).jpg
378,Pothole,No Pothole,img (79).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (79).jpg
379,Pothole,No Pothole,img (8).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (8).jpg
380,Pothole,No Pothole,img (80).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (80).jpg
381,Pothole,No Pothole,img (81).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (81).jpg
382,Pothole,No Pothole,img (82).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (82).jpg
383,Pothole,No Pothole,img (83).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (83).jpg
384,Pothole,No Pothole,img (84).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (84).jpg
385,Pothole,No Pothole,img (85).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (85).jpg
386,Pothole,No Pothole,img (86).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (86).jpg
387,Pothole,No Pothole,img (87).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (87).jpg
388,Pothole,No Pothole,img (88).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (88).jpg
389,Pothole,No Pothole,img (89).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (89).jpg
390,Pothole,No Pothole,img (9).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (9).jpg
391,Pothole,No Pothole,img (90).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (90).jpg
392,Pothole,No Pothole,img (91).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (91).jpg
393,Pothole,No Pothole,img (92).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (92).jpg
394,Pothole,No Pothole,img (93).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (93).jpg
395,Pothole,No Pothole,img (94).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (94).jpg
396,Pothole,No Pothole,img (95).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (95).jpg
397,Pothole,No Pothole,img (96).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (96).jpg
398,Pothole,No Pothole,img (97).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (97).jpg
399,Pothole,No Pothole,img (98).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (98).jpg
400,Pothole,No Pothole,img (99).jpg,JPG,No,D:\final-project1\final year project\datasets\data\pothole\no\img (99).jpg
401,Pothole,Has Pothole,Img (1).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (1).jpg
402,Pothole,Has Pothole,Img (10).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (10).jpg
403,Pothole,Has Pothole,Img (100).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (100).jpg
404,Pothole,Has Pothole,Img (11).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (11).jpg
405,Pothole,Has Pothole,Img (12).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (12).jpg
406,Pothole,Has Pothole,Img (13).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (13).jpg
407,Pothole,Has Pothole,Img (14).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (14).jpg
408,Pothole,Has Pothole,Img (15).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (15).jpg
409,Pothole,Has Pothole,Img (16).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (16).jpg
410,Pothole,Has Pothole,Img (17).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (17).jpg
411,Pothole,Has Pothole,Img (18).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (18).jpg
412,Pothole,Has Pothole,Img (19).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (19).jpg
413,Pothole,Has Pothole,Img (2).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (2).jpg
414,Pothole,Has Pothole,Img (20).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (20).jpg
415,Pothole,Has Pothole,Img (21).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (21).jpg
416,Pothole,Has Pothole,Img (22).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (22).jpg
417,Pothole,Has Pothole,Img (23).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (23).jpg
418,Pothole,Has Pothole,Img (24).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (24).jpg
419,Pothole,Has Pothole,Img (25).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (25).jpg
420,Pothole,Has Pothole,Img (26).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (26).jpg
421,Pothole,Has Pothole,Img (27).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (27).jpg
422,Pothole,Has Pothole,Img (28).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (28).jpg
423,Pothole,Has Pothole,Img (29).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (29).jpg
424,Pothole,Has Pothole,Img (3).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (3).jpg
425,Pothole,Has Pothole,Img (30).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (30).jpg
426,Pothole,Has Pothole,Img (31).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (31).jpg
427,Pothole,Has Pothole,Img (32).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (32).jpg
428,Pothole,Has Pothole,Img (33).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (33).jpg
429,Pothole,Has Pothole,Img (34).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (34).jpg
430,Pothole,Has Pothole,Img (35).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (35).jpg
431,Pothole,Has Pothole,Img (36).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (36).jpg
432,Pothole,Has Pothole,Img (37).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (37).jpg
433,Pothole,Has Pothole,Img (38).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (38).jpg
434,Pothole,Has Pothole,Img (39).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (39).jpg
435,Pothole,Has Pothole,Img (4).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (4).jpg
436,Pothole,Has Pothole,Img (40).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (40).jpg
437,Pothole,Has Pothole,Img (41).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (41).jpg
438,Pothole,Has Pothole,Img (42).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (42).jpg
439,Pothole,Has Pothole,Img (43).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (43).jpg
440,Pothole,Has Pothole,Img (44).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (44).jpg
441,Pothole,Has Pothole,Img (45).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (45).jpg
442,Pothole,Has Pothole,Img (46).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\pothole\yes\Img (46).jpg
